time,latitude,longitude,percentage
UTC,degrees_north,degrees_east,
2006-01-01T00:00:00Z,32.75,242.25,NaN
2006-01-01T00:00:00Z,32.75,242.75,0.0
2006-01-01T00:00:00Z,32.75,243.25,1.7199999
2006-01-01T00:00:00Z,32.75,243.75,12.49
2006-01-01T00:00:00Z,33.25,242.25,NaN
2006-01-01T00:00:00Z,33.25,242.75,0.0
2006-01-01T00:00:00Z,33.25,243.25,0.0
2006-01-01T00:00:00Z,33.25,243.75,0.0
2006-01-01T00:00:00Z,33.75,242.25,0.0
2006-01-01T00:00:00Z,33.75,242.75,0.0
2006-01-01T00:00:00Z,33.75,243.25,0.0
2006-01-01T00:00:00Z,33.75,243.75,0.0
