latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.41195,-155.28438,346.19,0.53,0.5,2025-05-01,00:05,N,nominal,2.0NRT,317,12.46,D
19.4172,-155.27974,335.42,0.53,0.5,2025-05-01,00:05,N,nominal,2.0NRT,302.69,13.21,D
19.40731,-155.28365,349.39,0.53,0.5,2025-05-01,00:05,N,nominal,2.0NRT,319.17,10.63,D
19.4038,-155.27275,337.58,0.53,0.5,2025-05-01,00:05,N,low,2.0NRT,312.11,11.02,D
19.40265,-155.28302,344.37,0.53,0.5,2025-05-01,00:05,N,nominal,2.0NRT,313.97,10.63,D
19.40207,-155.28824,345.04,0.53,0.5,2025-05-01,00:05,N,nominal,2.0NRT,316.51,10.63,D
19.40846,-155.2733,345.53,0.53,0.5,2025-05-01,00:05,N,nominal,2.0NRT,314.85,11.02,D
19.40789,-155.27844,339.27,0.53,0.5,2025-05-01,00:05,N,low,2.0NRT,313.58,11.02,D
19.40672,-155.28891,355.13,0.53,0.5,2025-05-01,00:05,N,nominal,2.0NRT,320.8,10.63,D
19.41313,-155.27388,355.64,0.53,0.5,2025-05-01,00:05,N,nominal,2.0NRT,320.35,13.21,D
19.41255,-155.27907,353.6,0.53,0.5,2025-05-01,00:05,N,nominal,2.0NRT,321.57,13.21,D
19.41135,-155.28973,343.44,0.53,0.5,2025-05-01,00:05,N,nominal,2.0NRT,312.84,12.46,D
48.18759,-64.92356,296.15,0.57,0.52,2025-05-01,05:40,N,nominal,2.0NRT,273.95,1.08,N
45.2803,-66.02126,302.91,0.6,0.53,2025-05-01,05:42,N,nominal,2.0NRT,275.51,1.15,N
20.7636,-76.39626,316.41,0.71,0.75,2025-05-01,05:48,N,nominal,2.0NRT,288.46,3.09,N
20.58849,-76.30244,302.2,0.7,0.75,2025-05-01,05:48,N,nominal,2.0NRT,287.39,1.32,N
20.59114,-76.3076,306.27,0.7,0.75,2025-05-01,05:48,N,nominal,2.0NRT,287.5,1.88,N
20.76836,-76.39872,302.81,0.71,0.75,2025-05-01,05:48,N,nominal,2.0NRT,287.93,1.84,N
