time,latitude,longitude,percentage
UTC,degrees_north,degrees_east,
2006-01-01T00:00:00Z,32.75,242.25,NaN
2006-01-01T00:00:00Z,32.75,242.75,0.0
2006-01-01T00:00:00Z,32.75,243.25,1.1999999
2006-01-01T00:00:00Z,32.75,243.75,2.12
2006-01-01T00:00:00Z,33.25,242.25,NaN
2006-01-01T00:00:00Z,33.25,242.75,3.6699998
2006-01-01T00:00:00Z,33.25,243.25,17.41
2006-01-01T00:00:00Z,33.25,243.75,0.0
2006-01-01T00:00:00Z,33.75,242.25,1.9599999
2006-01-01T00:00:00Z,33.75,242.75,3.31
2006-01-01T00:00:00Z,33.75,243.25,9.03
2006-01-01T00:00:00Z,33.75,243.75,0.0
