time,latitude,longitude,percentage
UTC,degrees_north,degrees_east,
2006-01-01T00:00:00Z,32.75,242.25,NaN
2006-01-01T00:00:00Z,32.75,242.75,84.72
2006-01-01T00:00:00Z,32.75,243.25,68.21
2006-01-01T00:00:00Z,32.75,243.75,19.31
2006-01-01T00:00:00Z,33.25,242.25,NaN
2006-01-01T00:00:00Z,33.25,242.75,48.219997
2006-01-01T00:00:00Z,33.25,243.25,48.1
2006-01-01T00:00:00Z,33.25,243.75,0.0
2006-01-01T00:00:00Z,33.75,242.25,14.0
2006-01-01T00:00:00Z,33.75,242.75,42.32
2006-01-01T00:00:00Z,33.75,243.25,42.66
2006-01-01T00:00:00Z,33.75,243.75,2.4299998
