time,latitude,longitude,percentage
UTC,degrees_north,degrees_east,
2006-01-01T00:00:00Z,32.75,242.25,NaN
2006-01-01T00:00:00Z,32.75,242.75,15.28
2006-01-01T00:00:00Z,32.75,243.25,2.1699998
2006-01-01T00:00:00Z,32.75,243.75,66.08
2006-01-01T00:00:00Z,33.25,242.25,NaN
2006-01-01T00:00:00Z,33.25,242.75,2.62
2006-01-01T00:00:00Z,33.25,243.25,31.81
2006-01-01T00:00:00Z,33.25,243.75,97.5
2006-01-01T00:00:00Z,33.75,242.25,0.0
2006-01-01T00:00:00Z,33.75,242.75,18.98
2006-01-01T00:00:00Z,33.75,243.25,36.23
2006-01-01T00:00:00Z,33.75,243.75,83.7
